Company_Category,Company,Class,Service_Name,Level,Category,Indicator,Scoring_Level,Element,Score,Answer,Comments,Sources
Internet,Kakao,Search Engines,Daum Search,Daum Search,Privacy,P6,Element,P6.6,exclude,N/A,This element is not applicable for Kakao.,NA
Internet,Kakao,Messaging and VoIP,KakaoTalk,KakaoTalk,Privacy,P6,Element,P6.6,exclude,N/A,This element is not applicable for Kakao.,NA
Internet,Kakao,Email,Daum Mail,Daum Mail,Privacy,P6,Element,P6.7,exclude,N/A,This element is not applicable for Kakao.,NA
Internet,Kakao,Search Engines,Daum Search,Daum Search,Privacy,P6,Element,P6.7,exclude,N/A,This element is not applicable for Kakao.,NA
Internet,Kakao,Messaging and VoIP,KakaoTalk,KakaoTalk,Privacy,P6,Element,P6.7,exclude,N/A,This element is not applicable for Kakao.,NA
Internet,Kakao,Email,Daum Mail,Daum Mail,Privacy,P6,Level,NA,30,NA,NA,3; 3'; 6; 26; 26'
Internet,Kakao,Search Engines,Daum Search,Daum Search,Privacy,P6,Level,NA,30,NA,NA,3; 3'; 6; 26; 26'
Internet,Kakao,Messaging and VoIP,KakaoTalk,KakaoTalk,Privacy,P6,Level,NA,40,NA,NA,4; 4'; 7; 7'; 26; 26'
Internet,Kakao,Total,NA,NA,Privacy,P6,Indicator,NA,33.333333333333336,NA,NA,NA
Internet,Kakao,Email,Daum Mail,Daum Mail,Privacy,P7,Element,P7.1,50,partial,"Partial. Under ""06. Others” in the Daum privacy policy (Source 6) it states: ""(1) Users may access and change their personal information anytime; and (2) Users may withdraw consent for personal information collection and unregister from membership anytime. However, it is not clear whether users have options to control each type of user information the company collects.",NA
Internet,Kakao,Search Engines,Daum Search,Daum Search,Privacy,P7,Element,P7.1,50,partial,"Partial. Under ""06. Others” in the Daum privacy policy (Source 6) it states: ""(1) Users may access and change their personal information anytime; and (2) Users may withdraw consent for personal information collection and unregister from membership anytime. However, it is not clear whether users have options to control each type of user information the company collects.",NA
Internet,Kakao,Messaging and VoIP,KakaoTalk,KakaoTalk,Privacy,P7,Element,P7.1,50,partial,"Partial. Under the heading ""6. Others” in the Kakao privacy policy (Source 7,7') it states that users ""The user may view and edit his or her personal information at any time (through a legal representative for users aged 14 or under), and may at any time withdraw his or her agreement on personal information provision or unregister from the service."". However, it is unclear whether users have options to control each kind of user information the company collects. Moreover, the Personal Information Lifecycle infographic (Source 26, 26') describes three categories of user information including ‘Necessary', ‘Optional', and 'Automatically generated.’ It also suggests examples of the types for necessary information (e.g., ID, password, contact information) and automatically generated information (e.g,. IP address, cookies, service use history) it collects. But, it does not provide any examples of the types of optional information it collects, and it does not clarify whether users have options to control the company's collection of automatically generated information. For this reason, Kakao receives partial credit.",NA
Internet,Kakao,Email,Daum Mail,Daum Mail,Privacy,P7,Element,P7.2,0,no disclosure found,No disclosure found.,NA
Internet,Kakao,Search Engines,Daum Search,Daum Search,Privacy,P7,Element,P7.2,0,no disclosure found,No disclosure found.,NA
Internet,Kakao,Messaging and VoIP,KakaoTalk,KakaoTalk,Privacy,P7,Element,P7.2,0,no disclosure found,No disclosure found.,NA
