Company_Category,Company,Class,Service_Name,Level,Category,Indicator,Scoring_Level,Element,Score,Answer,Comments,Sources
Internet,Yandex,Group,NA,Group - Privacy,Governance,G3,Element,G3.1,0,no disclosure found,No disclosure found.,NA
Internet,Yandex,Cloud,Yandex Disk,Yandex Disk - Freedom of Expression,Governance,G3,Element,G3.1,0,no disclosure found,No disclosure found.,NA
Internet,Yandex,Cloud,Yandex Disk,Yandex Disk - Privacy,Governance,G3,Element,G3.1,0,no disclosure found,No disclosure found.,NA
Internet,Yandex,Email,Yandex Mail,Yandex Mail - Freedom of Expression,Governance,G3,Element,G3.1,0,no disclosure found,No disclosure found.,NA
Internet,Yandex,Email,Yandex Mail,Yandex Mail - Privacy,Governance,G3,Element,G3.1,0,no disclosure found,No disclosure found.,NA
Internet,Yandex,Search Engines,Yandex Search,Yandex Search - Freedom of Expression,Governance,G3,Element,G3.1,0,no disclosure found,No disclosure found.,NA
Internet,Yandex,Search Engines,Yandex Search,Yandex Search - Privacy,Governance,G3,Element,G3.1,0,no disclosure found,No disclosure found.,NA
Internet,Yandex,Group,NA,Group - Freedom of Expression,Governance,G3,Element,G3.2,100,yes,"Yes. The company's ""About"" page (Source 40) states: ""As part of our commitment to online human rights, we welcome both employees and users to report any issues relating to privacy, security, and freedom of expression online to Yandex. Users, please visit our support page where you can navigate to the proper form and submit more detailed information about issues in the feedback form. Your request will be forwarded to the appropriate team and Yandex support will contact you via the submitted contact email. Both employees and users may also confidentially submit questions and complaints regarding freedom of expression online and privacy here."" The company then links to a hotline (Source 41) where employees can submit their complaints. Since Yandex discloses a mechanism for employees to confidentially submit complaints, and specifically mentions freedom of expression and privacy, this disclosure warrants full credit.",NA
Internet,Yandex,Group,NA,Group - Privacy,Governance,G3,Element,G3.2,100,yes,"Yes. The company's ""About"" page (Source 40) states: ""As part of our commitment to online human rights, we welcome both employees and users to report any issues relating to privacy, security, and freedom of expression online to Yandex. Users, please visit our support page where you can navigate to the proper form and submit more detailed information about issues in the feedback form. Your request will be forwarded to the appropriate team and Yandex support will contact you via the submitted contact email. Both employees and users may also confidentially submit questions and complaints regarding freedom of expression online and privacy here."" The company then links to a hotline (Source 41) where employees can submit their complaints. Since Yandex discloses a mechanism for employees to confidentially submit complaints, and specifically mentions freedom of expression and privacy, this disclosure warrants full credit.",NA
Internet,Yandex,Cloud,Yandex Disk,Yandex Disk - Freedom of Expression,Governance,G3,Element,G3.2,100,yes,"Yes. The company's ""About"" page (Source 40) states: ""As part of our commitment to online human rights, we welcome both employees and users to report any issues relating to privacy, security, and freedom of expression online to Yandex. Users, please visit our support page where you can navigate to the proper form and submit more detailed information about issues in the feedback form. Your request will be forwarded to the appropriate team and Yandex support will contact you via the submitted contact email. Both employees and users may also confidentially submit questions and complaints regarding freedom of expression online and privacy here."" The company then links to a hotline (Source 41) where employees can submit their complaints. Since Yandex discloses a mechanism for employees to confidentially submit complaints, and specifically mentions freedom of expression and privacy, this disclosure warrants full credit.",NA
Internet,Yandex,Cloud,Yandex Disk,Yandex Disk - Privacy,Governance,G3,Element,G3.2,100,yes,"Yes. The company's ""About"" page (Source 40) states: ""As part of our commitment to online human rights, we welcome both employees and users to report any issues relating to privacy, security, and freedom of expression online to Yandex. Users, please visit our support page where you can navigate to the proper form and submit more detailed information about issues in the feedback form. Your request will be forwarded to the appropriate team and Yandex support will contact you via the submitted contact email. Both employees and users may also confidentially submit questions and complaints regarding freedom of expression online and privacy here."" The company then links to a hotline (Source 41) where employees can submit their complaints. Since Yandex discloses a mechanism for employees to confidentially submit complaints, and specifically mentions freedom of expression and privacy, this disclosure warrants full credit.",NA
Internet,Yandex,Email,Yandex Mail,Yandex Mail - Freedom of Expression,Governance,G3,Element,G3.2,100,yes,"Yes. The company's ""About"" page (Source 40) states: ""As part of our commitment to online human rights, we welcome both employees and users to report any issues relating to privacy, security, and freedom of expression online to Yandex. Users, please visit our support page where you can navigate to the proper form and submit more detailed information about issues in the feedback form. Your request will be forwarded to the appropriate team and Yandex support will contact you via the submitted contact email. Both employees and users may also confidentially submit questions and complaints regarding freedom of expression online and privacy here."" The company then links to a hotline (Source 41) where employees can submit their complaints. Since Yandex discloses a mechanism for employees to confidentially submit complaints, and specifically mentions freedom of expression and privacy, this disclosure warrants full credit.",NA
Internet,Yandex,Email,Yandex Mail,Yandex Mail - Privacy,Governance,G3,Element,G3.2,100,yes,"Yes. The company's ""About"" page (Source 40) states: ""As part of our commitment to online human rights, we welcome both employees and users to report any issues relating to privacy, security, and freedom of expression online to Yandex. Users, please visit our support page where you can navigate to the proper form and submit more detailed information about issues in the feedback form. Your request will be forwarded to the appropriate team and Yandex support will contact you via the submitted contact email. Both employees and users may also confidentially submit questions and complaints regarding freedom of expression online and privacy here."" The company then links to a hotline (Source 41) where employees can submit their complaints. Since Yandex discloses a mechanism for employees to confidentially submit complaints, and specifically mentions freedom of expression and privacy, this disclosure warrants full credit.",NA
Internet,Yandex,Search Engines,Yandex Search,Yandex Search - Freedom of Expression,Governance,G3,Element,G3.2,100,yes,"Yes. The company's ""About"" page (Source 40) states: ""As part of our commitment to online human rights, we welcome both employees and users to report any issues relating to privacy, security, and freedom of expression online to Yandex. Users, please visit our support page where you can navigate to the proper form and submit more detailed information about issues in the feedback form. Your request will be forwarded to the appropriate team and Yandex support will contact you via the submitted contact email. Both employees and users may also confidentially submit questions and complaints regarding freedom of expression online and privacy here."" The company then links to a hotline (Source 41) where employees can submit their complaints. Since Yandex discloses a mechanism for employees to confidentially submit complaints, and specifically mentions freedom of expression and privacy, this disclosure warrants full credit.",NA
Internet,Yandex,Search Engines,Yandex Search,Yandex Search - Privacy,Governance,G3,Element,G3.2,100,yes,"Yes. The company's ""About"" page (Source 40) states: ""As part of our commitment to online human rights, we welcome both employees and users to report any issues relating to privacy, security, and freedom of expression online to Yandex. Users, please visit our support page where you can navigate to the proper form and submit more detailed information about issues in the feedback form. Your request will be forwarded to the appropriate team and Yandex support will contact you via the submitted contact email. Both employees and users may also confidentially submit questions and complaints regarding freedom of expression online and privacy here."" The company then links to a hotline (Source 41) where employees can submit their complaints. Since Yandex discloses a mechanism for employees to confidentially submit complaints, and specifically mentions freedom of expression and privacy, this disclosure warrants full credit.",NA
Internet,Yandex,Group,NA,Group - Freedom of Expression,Governance,G3,Level,NA,50,NA,NA,40
Internet,Yandex,Group,NA,Group - Privacy,Governance,G3,Level,NA,50,NA,NA,40
Internet,Yandex,Cloud,Yandex Disk,Yandex Disk - Freedom of Expression,Governance,G3,Level,NA,50,NA,NA,40
Internet,Yandex,Cloud,Yandex Disk,Yandex Disk - Privacy,Governance,G3,Level,NA,50,NA,NA,40
Internet,Yandex,Email,Yandex Mail,Yandex Mail - Freedom of Expression,Governance,G3,Level,NA,50,NA,NA,40
Internet,Yandex,Email,Yandex Mail,Yandex Mail - Privacy,Governance,G3,Level,NA,50,NA,NA,40
Internet,Yandex,Search Engines,Yandex Search,Yandex Search - Freedom of Expression,Governance,G3,Level,NA,50,NA,NA,40
Internet,Yandex,Search Engines,Yandex Search,Yandex Search - Privacy,Governance,G3,Level,NA,50,NA,NA,40
Internet,Yandex,Total,NA,NA,Governance,G3,Indicator,NA,50,NA,NA,NA
Internet,Yandex,Group,NA,Group - Freedom of Expression,Governance,G4,Element,G4.1,0,no disclosure found,No disclosure found.,NA
Internet,Yandex,Group,NA,Group - Privacy,Governance,G4,Element,G4.1,100,yes,"Yes. In its annual reports (Source 21, 22) Yandex overviews potential risks to its business in international markets, including legislative risks. Among others, it discusses the ""disclosure control rules, data protection, data retention, privacy and filtering requirements,"" which may pose difficulties for the operation of Yandex services (Source 21 page 15).",NA
